frame_idx,dynamic_label,select_flag
0,2,1
1,2,3
2,2,3
3,2,3
4,2,3
5,2,3
6,2,3
7,2,3
8,2,3
9,1,3
10,2,1
11,2,3
12,2,3
13,2,3
14,2,3
15,2,3
16,1,3
17,1,1
18,2,1
19,2,3
20,2,3
21,1,3
22,0,1
23,1,3
24,2,1
25,2,3
26,2,3
27,2,3
28,2,3
29,2,3
30,2,3
31,2,3
32,2,3
33,2,3
34,2,3
35,2,3
36,2,3
37,2,3
38,2,3
39,2,3
40,2,3
41,0,1
42,1,3
43,2,1
44,2,3
45,2,3
46,2,3
47,2,3
48,2,3
49,2,3
50,2,3
51,2,3
52,2,3
53,2,3
54,2,3
55,0,1
56,2,1
57,2,3
58,2,3
59,2,3
60,1,1
61,2,1
62,2,3
63,2,3
64,2,3
65,1,3
66,1,3
67,1,3
68,1,3
69,1,3
70,2,1
71,2,3
72,1,3
73,1,3
74,1,1
75,1,3
76,1,3
77,1,3
78,1,3
79,1,1
80,1,3
81,1,3
82,1,3
83,1,3
84,1,1
85,1,1
86,1,1
87,1,3
88,1,3
89,1,3
90,1,3
91,1,1
92,1,1
93,1,3
94,1,3
95,1,3
