frame_idx,dynamic_label,select_flag
0,1,1
1,2,1
2,2,3
3,2,3
4,2,3
5,2,3
6,2,3
7,2,3
8,2,3
9,2,3
10,2,3
11,2,3
12,1,3
13,1,3
14,1,3
15,1,3
16,1,3
17,1,3
18,1,1
19,1,3
20,1,3
21,1,3
22,1,3
23,1,3
24,1,3
25,1,3
26,1,3
27,2,1
28,2,3
29,1,3
30,1,3
31,1,3
32,1,3
33,1,1
34,1,3
35,1,3
36,1,3
37,1,3
38,1,3
39,1,3
40,1,1
41,2,1
42,2,3
43,2,3
44,2,3
45,2,3
46,2,3
47,2,3
48,1,3
49,1,3
50,1,3
51,2,1
52,2,3
53,2,3
54,2,3
55,2,3
56,1,3
57,1,3
58,1,3
59,1,3
60,1,3
61,2,1
62,2,3
63,1,3
64,1,3
65,2,1
66,2,3
67,1,1
68,1,3
69,1,3
70,1,3
71,1,3
72,1,3
73,1,3
74,1,3
75,1,1
76,1,3
77,1,3
78,1,1
79,0,1
80,0,1
81,0,1
82,0,1
83,1,3
84,1,3
85,0,1
86,1,3
87,1,3
88,1,1
89,1,1
90,1,3
91,1,3
92,1,3
93,0,1
94,1,3
95,1,3
96,1,1
97,1,3
98,1,1
99,1,3
100,1,3
101,1,3
102,1,3
103,1,3
104,1,1
105,1,1
106,1,3
107,1,3
108,1,3
109,1,3
110,1,1
111,1,3
112,1,3
113,1,3
114,1,3
115,1,3
116,1,3
117,0,1
118,0,1
119,1,1
120,1,1
121,1,1
122,1,1
123,1,3
124,0,1
125,0,1
126,0,1
127,0,1
128,0,1
129,0,1
130,0,1
131,1,1
132,0,1
133,0,1
134,0,1
135,0,1
136,0,1
137,0,1
138,0,1
139,0,1
140,0,1
141,0,1
142,0,1
143,0,1
144,0,1
145,0,1
146,0,1
147,0,1
148,0,1
149,0,1
150,0,1
151,0,1
152,0,1
153,0,1
154,0,1
155,0,1
156,0,1
157,1,1
158,1,3
159,0,1
160,1,3
161,1,1
162,1,3
163,1,3
164,0,1
165,1,3
166,0,1
167,0,1
168,1,3
169,1,3
170,0,1
171,0,1
172,0,1
173,0,1
174,0,1
175,0,1
176,0,1
177,0,1
178,1,3
179,1,3
180,1,3
181,1,3
182,1,1
183,0,1
184,0,1
185,0,1
186,0,1
187,0,1
188,0,1
189,1,3
190,1,3
191,0,1
192,1,3
193,1,3
194,1,3
195,1,3
196,1,1
197,1,3
198,1,3
199,1,3
200,1,1
201,1,3
202,1,1
203,1,3
204,1,1
205,1,3
206,1,3
207,1,3
208,1,3
209,1,1
210,1,3
211,1,3
212,1,3
213,1,3
214,0,1
215,0,1
216,0,1
217,0,1
218,0,1
219,0,1
220,1,3
221,1,3
222,1,3
223,1,1
224,1,3
225,1,3
226,1,1
227,1,3
228,1,3
229,1,3
230,1,3
231,1,3
232,1,3
233,1,3
234,1,1
235,1,3
236,1,3
237,1,1
238,1,3
239,1,1
240,1,3
241,1,3
242,1,3
243,1,3
244,1,3
245,1,3
246,1,3
247,1,3
248,1,3
249,1,3
250,1,1
251,1,3
252,1,3
253,1,3
254,1,1
255,1,3
256,1,3
257,1,3
258,1,3
259,1,3
260,2,1
261,2,3
262,2,3
263,1,3
264,1,3
265,1,3
266,0,1
267,0,1
268,0,1
269,0,1
270,0,1
271,0,1
272,0,1
273,0,1
274,0,1
275,0,1
276,0,1
277,0,1
278,0,1
279,0,1
280,1,3
281,1,3
282,1,3
283,1,1
284,1,3
285,1,3
286,1,1
287,1,3
288,1,1
289,1,3
290,0,1
291,1,3
292,1,3
293,1,3
294,1,1
295,1,1
296,1,3
297,1,1
298,1,1
299,1,1
300,1,3
301,1,3
302,1,1
303,0,1
304,1,1
305,1,3
306,1,1
307,1,3
308,1,3
309,1,3
310,1,3
311,1,1
312,0,1
313,0,1
314,0,1
315,1,3
316,1,1
317,1,1
318,1,3
319,1,3
320,1,1
321,1,3
322,1,3
323,1,3
324,1,3
325,2,1
326,2,3
327,2,3
328,2,3
329,2,3
330,1,1
331,1,1
332,0,1
333,0,1
334,0,1
335,0,1
336,0,1
337,0,1
338,0,1
339,1,3
340,1,1
341,1,3
342,1,3
343,1,3
344,1,3
345,1,3
346,0,1
347,0,1
348,0,1
349,0,1
350,0,1
351,0,1
352,1,1
353,1,3
354,1,1
355,1,1
356,1,3
357,1,3
358,1,3
359,1,3
360,1,1
361,2,1
362,2,3
363,1,3
364,2,1
365,2,3
366,2,3
367,2,3
368,2,3
369,1,3
370,1,3
371,1,1
372,1,1
373,1,3
374,1,1
375,1,3
376,1,1
377,1,3
378,1,3
379,1,3
380,1,3
381,1,3
382,1,3
383,1,1
384,0,1
385,0,1
386,0,1
387,0,1
388,0,1
389,0,1
390,0,1
391,0,1
392,0,1
393,0,1
394,0,1
395,0,1
396,1,1
397,1,3
398,1,3
399,1,3
400,1,3
401,1,1
402,1,3
403,1,3
404,1,3
405,1,3
406,1,3
407,1,3
408,1,3
409,1,1
410,1,3
411,1,3
412,2,1
413,2,3
414,2,3
415,2,3
416,1,3
417,2,1
418,2,3
419,2,3
420,2,3
421,1,3
422,1,3
423,1,3
424,1,3
425,1,3
426,1,1
427,1,3
428,1,1
429,1,3
430,1,3
431,1,3
432,1,1
433,1,3
434,1,1
435,1,3
436,1,3
437,1,3
438,1,3
439,1,3
