frame_idx,dynamic_label,select_flag
0,2,3
1,1,3
2,1,3
3,1,1
4,1,3
5,1,3
6,1,1
7,2,1
8,2,3
9,2,3
10,2,3
11,2,3
12,2,3
13,2,3
14,2,3
15,2,3
16,2,3
17,2,3
18,2,3
19,2,3
20,2,3
21,2,3
22,2,3
23,1,3
24,1,1
25,1,1
26,1,3
27,1,1
28,2,3
29,1,3
30,1,3
31,2,1
32,2,3
33,2,3
34,2,3
35,2,3
36,1,3
37,1,3
38,2,1
39,2,3
40,1,3
41,2,1
42,2,3
43,2,3
44,2,3
45,2,3
46,2,3
47,2,3
48,1,3
49,2,1
50,2,3
51,2,3
52,2,3
53,2,3
54,2,3
55,2,3
56,2,3
57,2,3
58,2,3
59,2,3
60,2,3
61,2,3
62,2,3
63,1,1
64,1,3
65,2,1
66,2,3
67,2,3
68,2,3
69,2,3
70,1,1
71,1,3
72,1,3
73,2,1
74,2,3
75,2,3
76,2,3
77,2,3
78,1,3
79,1,1
80,1,3
81,2,1
82,2,3
83,2,3
84,2,3
85,2,3
86,1,3
87,1,3
88,1,3
89,1,1
90,1,3
91,1,3
92,2,1
93,2,3
94,2,3
95,0,1
96,1,1
97,2,1
98,2,3
99,2,3
100,2,3
101,2,3
102,1,3
103,1,3
104,2,3
105,1,1
106,1,3
107,1,3
108,0,1
109,2,3
110,1,3
111,1,3
112,1,1
113,2,1
114,2,3
115,2,3
116,2,3
117,2,3
118,2,3
119,2,3
120,2,3
121,2,3
122,2,3
123,2,3
124,2,3
125,2,3
126,2,3
127,2,3
128,2,3
129,2,3
130,2,3
131,2,3
132,2,3
133,0,1
134,1,3
135,1,3
136,1,3
137,1,3
138,2,1
139,2,3
140,2,3
141,2,3
142,0,1
143,1,3
144,1,3
145,0,1
146,1,3
147,1,3
148,1,3
149,2,3
150,1,3
151,1,3
152,1,1
153,2,1
154,2,3
155,2,3
156,2,3
157,1,3
158,2,1
159,2,3
160,2,3
161,2,3
162,2,3
163,2,3
164,2,3
165,2,3
