frame_idx,dynamic_label,select_flag
0,1,1
1,2,1
2,2,3
3,2,3
4,2,3
5,2,3
6,2,3
7,0,1
8,1,3
9,2,1
10,2,3
11,2,3
12,2,3
13,2,3
14,1,3
15,1,3
16,1,1
17,1,3
18,1,1
19,1,1
20,1,3
21,2,1
22,2,3
23,2,3
24,2,3
25,2,3
26,2,3
27,2,3
28,2,3
29,2,3
30,1,3
31,1,3
32,1,3
33,1,1
34,1,3
35,1,3
36,1,1
37,1,3
38,1,3
39,1,3
40,1,3
41,2,1
42,2,3
43,1,3
44,1,3
45,2,1
46,2,3
47,2,3
48,2,3
49,2,3
50,1,3
51,1,1
52,1,3
53,1,1
54,1,3
55,1,3
56,1,3
57,1,3
58,1,3
59,2,3
60,1,1
61,1,3
62,1,3
63,1,1
64,1,3
65,1,1
66,1,3
67,1,3
68,1,3
69,1,3
70,1,1
71,2,1
72,2,3
73,2,3
74,2,3
75,2,3
76,2,3
77,2,3
78,2,3
79,2,3
80,2,3
81,2,3
82,2,3
83,2,3
84,2,3
85,2,3
86,2,3
87,2,3
88,2,3
89,2,3
90,2,3
91,2,3
92,2,3
93,2,3
94,2,3
95,2,3
96,2,3
97,2,3
98,2,3
99,2,3
100,2,3
101,2,3
102,2,3
103,2,3
104,2,3
105,2,3
106,2,3
107,2,3
108,2,3
109,2,3
110,2,3
111,2,3
112,2,3
113,2,3
114,2,3
115,2,3
116,2,3
117,2,3
118,2,3
119,2,3
120,2,3
121,2,3
122,2,3
123,2,3
124,2,3
125,2,3
126,1,3
127,1,3
128,1,1
129,1,3
130,1,3
131,1,3
132,1,1
133,1,3
134,1,3
135,1,1
136,1,3
137,1,3
138,1,1
139,2,1
140,2,3
141,2,3
142,2,3
143,2,3
144,1,3
145,1,3
146,2,1
147,2,3
148,1,3
149,1,1
150,1,3
151,2,3
152,1,3
153,1,3
154,1,3
155,2,1
156,2,3
157,1,3
158,1,3
159,1,1
160,1,3
161,1,1
162,1,3
163,2,1
164,2,3
165,2,3
166,2,3
167,2,3
168,2,3
169,2,3
170,2,3
171,2,3
172,2,3
173,2,3
174,2,3
175,2,3
176,2,3
177,2,3
178,2,3
179,2,3
180,2,3
181,1,3
182,1,3
183,1,3
184,1,3
185,1,3
186,1,1
187,1,3
188,1,3
189,1,3
190,1,3
191,1,3
192,1,3
193,1,3
194,1,3
195,2,1
196,2,3
197,2,3
198,2,3
199,2,3
200,1,3
201,1,3
202,1,3
203,1,3
204,1,3
205,1,3
206,1,1
207,1,3
208,1,3
209,1,1
210,1,3
211,1,1
212,1,3
213,1,3
214,1,1
215,1,1
216,1,1
217,1,3
218,2,1
219,2,3
220,2,3
221,1,1
222,1,3
223,1,1
224,1,1
225,2,3
226,1,3
227,2,3
228,1,3
229,1,3
230,1,1
231,1,3
232,1,1
233,1,3
234,2,1
235,2,3
236,2,3
237,2,3
238,2,3
239,2,3
240,2,3
241,2,3
242,2,3
243,2,3
244,2,3
245,2,3
246,2,3
247,1,3
248,2,1
249,2,3
250,1,3
251,2,3
252,1,3
253,1,3
254,1,3
255,1,3
256,1,1
257,1,3
258,1,1
259,1,3
260,2,1
261,2,3
262,2,3
263,2,3
264,2,3
265,2,3
266,2,3
267,2,3
268,1,1
269,1,3
270,1,3
271,1,3
272,1,3
273,2,1
274,2,3
275,2,3
276,2,3
277,2,3
278,2,3
279,1,1
280,1,3
281,1,3
282,1,3
283,1,3
284,2,1
285,2,3
286,2,3
287,2,3
288,2,3
289,2,3
290,2,3
291,2,3
292,2,3
293,1,3
294,2,1
295,2,3
296,2,3
297,2,3
298,2,3
299,2,3
300,2,3
301,2,3
302,1,3
303,2,1
304,2,3
305,2,3
306,1,3
307,1,3
308,1,3
309,1,3
310,1,3
311,1,3
312,2,1
313,2,3
314,1,3
315,1,3
316,1,3
317,1,1
318,1,3
319,1,3
320,1,3
321,1,3
322,1,3
323,1,1
324,1,3
325,1,3
326,1,3
327,1,1
328,1,3
329,1,1
330,1,3
331,2,1
332,2,3
333,2,3
334,2,3
335,2,3
336,2,3
337,2,3
338,2,3
339,2,3
340,2,3
341,2,3
342,2,3
343,2,3
344,2,3
345,2,3
346,2,3
347,2,3
348,2,3
349,2,3
350,2,3
351,2,3
352,2,3
353,2,3
354,2,3
355,2,3
356,2,3
357,2,3
358,2,3
359,2,3
360,2,3
361,2,3
362,2,3
363,2,3
364,2,3
365,2,3
366,2,3
367,2,3
368,2,3
369,2,3
370,2,3
371,2,3
372,1,3
373,2,1
374,2,3
375,2,3
376,1,3
377,2,1
378,2,3
379,1,3
380,2,1
381,2,3
382,2,3
383,2,3
384,2,3
385,2,3
386,2,3
387,2,3
388,2,3
389,2,3
390,1,3
391,1,3
392,1,3
393,1,1
394,1,1
395,2,1
396,2,3
397,2,3
398,1,3
399,1,1
400,1,3
401,1,3
402,1,3
403,2,1
404,2,3
405,2,3
406,2,3
407,2,3
408,2,3
409,2,3
410,2,3
411,2,3
412,2,3
413,2,3
414,2,3
415,2,3
416,2,3
417,2,3
418,2,3
419,2,3
420,2,3
421,1,1
422,1,1
423,1,3
424,2,1
425,2,3
426,1,3
427,1,1
428,1,3
429,1,3
430,1,3
431,1,3
432,1,3
433,1,1
434,2,3
