frame_idx,dynamic_label,select_flag
0,1,1
1,2,1
2,2,3
3,2,3
4,2,3
5,2,3
6,2,3
7,2,3
8,0,1
9,0,1
10,0,1
11,0,1
12,0,1
13,0,1
14,1,3
15,1,3
16,1,3
17,1,3
18,2,1
19,2,3
20,1,3
21,2,1
22,2,3
23,2,3
24,2,3
25,2,3
26,2,3
27,1,1
28,1,3
29,1,3
30,2,1
31,2,3
32,1,3
33,2,1
34,2,3
35,2,3
36,2,3
37,2,3
38,2,3
39,2,3
40,2,3
41,2,3
42,1,3
43,2,1
44,2,3
45,2,3
46,0,1
47,2,1
48,2,3
49,2,3
50,2,3
51,2,3
52,2,3
53,2,3
54,2,3
55,1,3
56,0,1
57,0,1
58,0,1
59,1,1
60,0,1
61,0,1
62,1,3
63,1,3
64,1,1
65,2,1
66,2,3
67,2,3
68,1,3
69,2,1
70,2,3
71,2,3
72,2,3
73,2,3
74,1,1
75,1,3
76,1,1
77,2,1
78,2,3
79,2,3
80,2,3
81,1,3
82,2,1
83,2,3
84,2,3
85,2,3
86,2,3
87,2,3
88,2,3
89,2,3
90,1,3
91,2,1
92,2,3
93,0,1
94,1,3
95,1,3
96,1,1
97,1,3
98,1,1
99,1,3
100,1,3
101,1,3
102,1,1
103,1,3
104,1,1
105,1,1
106,1,3
107,1,3
108,1,3
109,1,3
110,1,3
111,1,3
112,1,3
113,1,3
114,1,1
115,2,1
116,2,3
117,1,3
118,2,1
119,2,3
120,2,3
121,2,3
122,2,3
123,2,3
124,2,3
125,2,3
126,2,3
127,2,3
128,2,3
129,2,3
130,2,3
