frame_idx,dynamic_label,select_flag
0,2,1
1,2,3
2,2,3
3,1,1
4,1,3
5,1,3
6,2,1
7,2,3
8,1,3
9,1,3
10,1,3
11,1,3
12,1,3
13,1,3
14,1,3
15,1,1
16,1,1
17,1,3
18,1,3
19,1,1
20,1,3
21,1,1
22,1,3
23,1,3
24,1,1
25,1,3
26,1,3
27,1,3
28,1,3
29,1,3
30,1,1
31,1,1
32,1,3
33,1,3
34,1,3
35,1,3
36,1,3
37,0,1
38,0,1
39,1,3
40,1,3
41,0,1
42,0,1
43,0,1
44,0,1
45,0,1
46,0,1
47,0,1
48,0,1
49,0,1
50,0,1
51,0,1
52,0,1
53,1,3
54,1,3
55,1,3
56,1,3
57,0,1
58,0,1
59,0,1
60,0,1
61,0,1
62,0,1
63,1,3
64,1,3
65,1,3
66,1,3
67,1,3
68,1,3
69,1,3
70,1,3
71,0,1
72,0,1
73,0,1
74,0,1
75,0,1
76,0,1
77,0,1
78,1,3
79,1,3
80,1,3
81,1,1
82,1,1
83,1,3
84,1,3
85,1,3
86,1,3
87,0,1
88,0,1
89,1,1
90,1,1
91,1,3
92,1,3
93,1,3
94,1,1
95,1,1
96,1,3
97,1,3
98,1,1
99,1,3
100,0,1
101,0,1
102,0,1
103,0,1
104,0,1
105,0,1
106,0,1
107,0,1
108,0,1
109,1,3
110,1,3
111,1,1
112,0,1
113,0,1
114,0,1
115,0,1
116,0,1
117,0,1
118,0,1
119,0,1
120,0,1
121,0,1
122,1,1
123,1,3
124,1,1
125,1,3
126,1,1
127,1,3
128,1,1
129,1,1
130,0,1
131,0,1
132,0,1
133,1,1
134,0,1
135,0,1
136,0,1
137,0,1
138,0,1
139,1,3
140,1,3
141,1,1
142,1,3
143,0,1
144,1,3
145,1,3
146,1,1
147,1,3
148,1,1
149,1,3
150,1,1
151,1,3
152,1,3
153,1,3
154,1,3
155,1,3
156,1,3
157,1,3
158,1,1
159,1,3
160,1,3
161,1,3
162,1,1
163,1,1
164,1,3
165,1,3
166,1,3
167,1,3
168,1,3
169,1,3
170,1,3
171,1,3
172,1,3
173,1,3
174,1,3
175,1,3
176,1,3
177,1,1
178,1,3
179,1,3
180,1,3
181,1,3
182,1,3
183,1,1
184,1,3
185,1,3
186,1,1
187,1,3
188,1,3
189,1,1
190,1,3
191,1,3
192,1,3
193,1,3
194,1,1
195,1,3
196,1,3
197,1,1
198,1,1
199,1,1
200,1,1
201,1,3
202,0,1
203,1,3
204,1,3
205,1,3
206,1,3
207,1,3
208,1,3
209,1,3
210,1,3
211,1,1
212,1,3
213,1,3
214,1,3
215,1,1
216,0,1
217,0,1
218,0,1
219,0,1
220,0,1
221,0,1
222,1,3
223,1,3
224,0,1
225,0,1
226,1,1
227,1,1
228,1,3
229,1,3
230,1,1
231,1,3
232,1,3
233,1,3
234,1,3
235,1,3
236,0,1
237,0,1
238,1,3
239,1,3
240,1,3
241,0,1
242,0,1
243,0,1
244,0,1
245,0,1
246,0,1
247,0,1
248,0,1
249,0,1
250,0,1
251,0,1
252,0,1
253,0,1
254,0,1
255,0,1
256,0,1
257,0,1
258,0,1
259,0,1
260,0,1
261,0,1
262,0,1
263,0,1
264,0,1
265,0,1
266,0,1
267,0,1
268,0,1
269,0,1
270,0,1
271,0,1
272,0,1
273,0,1
274,0,1
275,0,1
276,0,1
277,0,1
278,0,1
279,0,1
280,0,1
281,0,1
282,0,1
283,0,1
284,0,1
285,0,1
286,0,1
287,0,1
288,0,1
289,0,1
290,0,1
291,0,1
292,0,1
293,0,1
294,1,3
295,1,3
296,1,3
297,2,3
