frame_idx,dynamic_label,select_flag
0,2,1
1,2,3
2,2,3
3,1,3
4,1,1
5,1,1
6,1,1
7,1,3
8,1,1
9,1,3
10,1,1
11,1,3
12,1,3
13,1,1
14,1,1
15,1,3
16,1,3
17,1,3
18,1,3
19,1,3
20,1,3
21,1,3
22,1,1
23,1,3
24,1,3
25,1,1
26,1,3
27,1,3
28,2,1
29,2,3
30,2,3
31,1,3
32,1,3
33,1,1
34,1,1
35,1,3
36,1,3
37,1,3
38,1,3
39,1,3
40,1,3
41,1,3
42,1,3
43,1,3
44,1,3
45,1,1
46,1,3
47,1,1
48,1,3
49,1,1
50,1,3
51,1,3
52,2,1
53,2,3
54,1,1
55,1,3
56,1,3
57,1,3
58,1,3
59,1,3
60,1,3
61,1,3
62,1,3
63,1,3
64,1,3
65,1,3
66,1,3
67,1,3
68,1,3
69,1,3
70,1,3
71,1,3
72,1,1
73,1,1
74,2,1
75,2,3
76,1,3
77,1,3
78,1,3
79,1,3
80,1,1
81,1,3
82,2,1
83,2,3
84,1,3
85,1,3
86,1,3
87,1,1
88,1,3
89,1,3
90,2,1
91,2,3
92,1,1
93,1,3
94,1,3
95,1,3
96,1,3
97,1,3
98,1,3
99,1,3
100,1,3
101,1,1
102,0,1
103,1,1
104,2,3
105,1,3
106,0,1
107,0,1
108,0,1
109,2,1
110,2,3
111,1,1
112,1,3
113,1,3
114,1,3
115,1,3
116,1,3
117,1,3
118,1,3
119,1,1
120,1,3
121,1,3
122,1,3
123,1,3
124,1,3
125,1,3
126,1,1
127,1,3
128,1,1
129,1,3
130,1,3
131,1,1
132,1,1
133,1,3
134,1,1
135,1,3
136,2,1
137,2,3
138,2,3
139,2,3
140,1,3
141,1,1
142,1,3
143,1,1
144,1,1
145,1,1
146,1,3
147,1,3
148,1,3
149,1,3
150,1,3
151,1,1
152,1,3
153,1,3
154,1,3
155,1,3
156,1,3
157,1,3
158,1,3
159,1,3
160,1,3
161,1,3
162,2,3
