frame_idx,dynamic_label,select_flag
0,0,1
1,0,1
2,1,3
3,1,3
4,1,3
5,1,3
6,1,3
7,1,3
8,0,1
9,0,1
10,0,1
11,0,1
12,1,3
13,1,3
14,0,1
15,0,1
16,0,1
17,0,1
18,0,1
19,0,1
20,0,1
21,0,1
22,0,1
23,0,1
24,0,1
25,0,1
26,0,1
27,0,1
28,0,1
29,0,1
30,0,1
31,0,1
32,0,1
33,0,1
34,0,1
35,0,1
36,0,1
37,0,1
38,0,1
39,0,1
40,1,1
41,1,3
42,1,3
43,1,1
44,1,3
45,0,1
46,0,1
47,0,1
48,0,1
49,0,1
50,0,1
51,0,1
52,0,1
53,0,1
54,1,1
55,1,3
56,0,1
57,0,1
58,0,1
59,1,1
60,0,1
61,1,1
62,1,1
63,1,3
64,1,1
65,1,3
66,1,3
67,1,3
68,1,3
69,1,1
70,1,3
71,1,3
72,1,3
73,1,1
74,1,3
75,1,3
76,1,1
77,1,3
78,1,3
79,1,3
80,1,3
81,1,1
82,1,3
83,1,1
84,2,1
85,2,3
86,2,3
87,2,3
88,2,3
89,1,1
90,1,3
91,1,3
92,1,3
93,1,3
94,2,3
95,1,3
96,1,3
97,1,3
98,1,3
99,1,1
100,1,3
101,1,3
102,1,3
103,1,3
104,1,1
105,1,3
106,1,3
107,1,3
108,1,3
109,2,3
110,1,3
111,2,3
