frame_idx,dynamic_label,select_flag
0,2,1
1,2,3
2,2,3
3,2,3
4,2,3
5,2,3
6,2,3
7,1,3
8,0,1
9,0,1
10,0,1
11,1,3
12,2,1
13,2,3
14,2,3
15,1,1
16,1,3
17,1,3
18,2,3
19,1,3
20,1,3
21,1,3
22,1,1
23,1,3
24,1,1
25,1,3
26,1,1
27,1,1
28,1,3
29,1,3
30,1,3
31,1,3
32,1,3
33,1,3
34,1,3
35,1,3
36,2,1
37,2,3
38,1,1
39,1,3
40,1,3
41,2,3
42,1,3
43,1,3
44,1,3
45,1,3
46,2,1
47,2,3
48,2,3
49,2,3
50,1,1
51,1,1
52,2,1
53,2,3
54,2,3
55,2,3
56,2,3
57,2,3
58,2,3
59,2,3
60,2,3
61,2,3
62,2,3
63,2,3
64,2,3
65,2,3
66,2,3
67,2,3
68,2,3
69,2,3
70,2,3
71,2,3
72,2,3
73,2,3
74,2,3
75,2,3
76,2,3
77,1,3
78,2,1
79,2,3
80,2,3
