frame_idx,dynamic_label,select_flag
0,1,1
1,1,3
2,1,1
3,2,1
4,2,3
5,1,3
6,1,3
7,2,3
8,1,3
9,1,3
10,1,1
11,1,3
12,0,1
13,0,1
14,0,1
15,0,1
16,0,1
17,0,1
18,0,1
19,0,1
20,0,1
21,0,1
22,0,1
23,0,1
24,0,1
25,0,1
26,0,1
27,0,1
28,0,1
29,1,1
30,1,3
31,0,1
32,0,1
33,0,1
34,0,1
35,0,1
36,0,1
37,0,1
38,0,1
39,1,3
40,1,3
41,1,3
42,1,1
43,1,3
44,1,3
45,1,3
46,1,1
47,0,1
48,1,1
49,1,3
50,1,3
51,1,3
52,0,1
53,0,1
54,1,1
55,1,1
56,1,3
57,1,1
58,1,3
59,0,1
60,1,3
61,1,3
62,1,3
63,1,3
64,1,1
65,2,3
66,1,3
67,0,1
68,1,3
69,1,3
70,1,1
71,1,3
72,1,3
73,0,1
74,0,1
75,1,3
76,0,1
77,0,1
78,0,1
79,0,1
80,0,1
81,0,1
82,1,3
83,0,1
84,1,3
85,1,1
86,1,3
87,1,3
88,1,1
89,1,3
90,1,3
91,1,3
92,1,3
93,2,1
94,2,3
95,1,3
96,2,1
97,2,3
98,1,3
99,1,3
100,1,1
101,1,3
102,1,3
103,1,3
104,1,1
105,1,3
106,1,3
107,1,3
108,1,3
109,0,1
110,1,3
111,1,3
112,1,3
113,1,1
114,2,1
115,2,3
116,1,3
117,2,1
118,2,3
119,2,3
120,2,3
121,2,3
122,2,3
123,2,3
124,2,3
125,2,3
126,2,3
127,2,3
128,2,3
129,1,3
130,2,1
131,2,3
132,2,3
133,2,3
134,2,3
135,1,3
136,1,1
137,1,3
138,1,3
139,1,3
140,1,3
141,1,3
142,1,1
143,1,3
144,1,3
145,1,3
146,1,1
147,2,1
148,2,3
