frame_idx,dynamic_label,select_flag
0,0,1
1,0,1
2,0,1
3,0,1
4,0,1
5,1,1
6,1,3
7,1,1
8,1,3
9,1,3
10,1,1
11,2,1
12,2,3
13,2,3
14,2,3
15,2,3
16,2,3
17,2,3
18,2,3
19,2,3
20,2,3
21,2,3
22,2,3
23,2,3
24,2,3
25,1,3
26,1,3
27,1,3
28,1,3
29,0,1
30,0,1
31,0,1
32,0,1
33,0,1
34,1,1
35,1,3
36,1,3
37,2,1
38,2,3
39,2,3
40,2,3
41,2,3
42,2,3
43,2,3
44,2,3
45,2,3
46,1,3
47,1,3
48,1,3
49,2,3
50,1,3
51,1,3
52,2,1
53,2,3
54,2,3
55,2,3
56,2,3
57,1,3
58,1,1
59,1,3
60,2,1
61,2,3
62,2,3
63,2,3
64,2,3
65,2,3
66,2,3
67,2,3
68,2,3
69,2,3
70,2,3
71,2,3
72,2,3
73,2,3
74,2,3
75,2,3
76,2,3
77,2,3
78,2,3
79,2,3
