frame_idx,dynamic_label,select_flag
0,1,3
1,1,1
2,1,3
3,2,3
4,1,3
5,1,3
6,1,3
7,1,1
8,1,3
9,2,3
10,1,3
11,1,3
12,2,1
13,2,3
14,2,3
15,2,3
16,2,3
17,2,3
18,2,3
19,2,3
20,2,3
21,2,3
22,2,3
23,1,3
24,1,3
25,1,3
26,1,1
27,1,1
28,1,3
29,1,3
30,0,1
31,1,3
32,1,3
33,1,3
34,2,1
35,2,3
36,2,3
37,2,3
38,2,3
39,2,3
40,2,3
41,2,3
42,2,3
43,2,3
44,2,3
45,2,3
46,2,3
47,2,3
48,2,3
49,2,3
50,2,3
51,2,3
52,1,3
53,1,1
54,1,3
55,1,3
56,2,1
57,2,3
58,2,3
59,2,3
60,2,3
61,2,3
62,2,3
63,2,3
64,2,3
65,2,3
66,2,3
67,2,3
68,2,3
69,2,3
70,2,3
71,2,3
72,2,3
73,2,3
74,2,3
75,2,3
76,2,3
77,2,3
78,2,3
79,2,3
80,2,3
81,2,3
82,2,3
83,2,3
84,2,3
85,1,1
86,1,3
87,1,1
88,1,1
89,1,1
90,1,3
91,1,3
92,1,3
93,1,1
94,1,1
95,2,1
96,2,3
97,2,3
98,2,3
99,2,3
100,2,3
101,2,3
102,2,3
103,2,3
104,1,3
105,2,1
106,2,3
107,1,3
108,2,1
109,2,3
110,1,3
111,0,1
112,1,3
113,0,1
114,0,1
115,0,1
116,1,3
117,2,1
118,2,3
119,2,3
120,2,3
121,1,3
122,1,3
123,0,1
124,0,1
125,0,1
126,0,1
127,1,3
128,1,1
129,1,3
130,1,3
131,1,3
132,1,3
133,1,3
134,0,1
135,0,1
136,1,3
137,2,1
138,2,3
139,2,3
