frame_idx,dynamic_label,select_flag
0,2,1
1,2,3
2,1,1
3,1,3
4,1,1
5,1,1
6,1,3
7,1,3
8,1,3
9,1,3
10,1,3
11,1,1
12,1,3
13,1,3
14,1,3
15,1,3
16,2,1
17,2,3
18,1,3
19,1,3
20,1,3
21,1,1
22,1,3
23,1,3
24,1,3
25,1,3
26,1,3
27,1,3
28,1,1
29,2,1
30,2,3
31,2,3
32,2,3
33,1,1
34,1,3
35,2,3
36,1,3
37,1,3
38,2,1
39,2,3
40,1,3
41,1,3
42,1,3
43,1,3
44,1,3
45,1,3
46,1,3
47,2,1
48,2,3
49,2,3
50,2,3
51,2,3
52,2,3
53,2,3
54,2,3
55,1,3
56,1,3
57,1,3
58,1,1
59,1,3
60,1,1
61,1,3
62,1,3
63,1,1
64,1,1
65,1,3
66,1,1
67,1,3
68,1,1
69,2,3
70,1,3
71,1,3
72,1,1
73,1,3
74,1,1
75,1,3
76,1,1
77,1,3
78,1,3
79,1,1
80,1,3
81,1,1
82,1,3
83,1,1
84,1,3
85,1,3
86,1,3
87,1,3
88,1,3
89,2,1
90,2,3
91,2,3
92,2,3
93,2,3
94,0,1
95,2,1
96,2,3
97,2,3
98,1,3
99,1,3
100,1,3
101,1,3
102,1,3
103,1,3
104,1,1
105,1,3
106,1,3
107,2,1
108,2,3
109,2,3
110,2,3
111,2,3
112,2,3
113,2,3
114,2,3
115,2,3
116,2,3
117,2,3
118,2,3
119,1,3
120,2,3
121,1,3
122,1,3
123,1,3
124,1,3
125,1,3
126,2,1
127,2,3
128,2,3
129,2,3
130,2,3
131,2,3
132,2,3
133,2,3
134,2,3
135,2,3
136,2,3
137,2,3
138,2,3
139,2,3
140,2,3
141,2,3
142,2,3
143,2,3
144,2,3
145,2,3
146,2,3
147,2,3
148,2,3
149,2,3
150,2,3
151,2,3
152,2,3
153,2,3
154,2,3
155,2,3
156,2,3
157,2,3
158,2,3
159,2,3
160,2,3
161,2,3
162,2,3
163,2,3
164,2,3
165,2,3
166,2,3
167,2,3
168,2,3
169,2,3
170,2,3
171,2,3
172,2,3
173,2,3
174,2,3
175,2,3
176,2,3
177,0,1
178,1,3
179,1,3
180,1,3
181,1,1
182,1,1
183,1,3
184,1,3
185,1,3
186,1,3
187,1,3
188,1,1
189,1,3
190,1,3
191,1,3
192,1,3
193,1,1
194,1,1
195,1,1
196,1,3
197,1,3
198,2,3
199,1,3
200,2,1
201,2,3
