frame_idx,event_points,event_intensity,event_concentration,event_saliency,dynamic_label,select_flag
0,140263,0.03606075420975685,0.08618153631687164,0.0611211434006691,2,3
1,90384,0.014794050715863705,0.07636841386556625,0.045581232756376266,2,3
2,111138,0.023642849177122116,0.13995324075222015,0.08179804682731628,2,3
3,104611,0.020859958603978157,0.18028374016284943,0.10057184845209122,2,3
4,145336,0.03822370991110802,0.2376687079668045,0.1379462033510208,1,3
5,101803,0.019662722945213318,0.18448752164840698,0.10207512229681015,2,3
6,79747,0.010258789174258709,0.13382531702518463,0.0720420554280281,2,3
7,55686,0.0,0.13125479221343994,0.06562739610671997,2,3
8,121073,0.027878789231181145,0.26890355348587036,0.14839117228984833,1,3
9,180647,0.05327912047505379,0.2667402923107147,0.1600097119808197,1,3
10,126091,0.030018296092748642,0.22134655714035034,0.12568242847919464,2,1
11,259836,0.08704260736703873,0.31437405943870544,0.2007083296775818,1,1
12,307543,0.10738324373960495,0.23656123876571655,0.17197224497795105,1,3
13,321150,0.11318481713533401,0.2254292070865631,0.16930700838565826,1,3
14,217977,0.06919535994529724,0.22040055692195892,0.14479795098304749,1,3
15,158170,0.043695684522390366,0.2004927545785904,0.12209422141313553,2,3
16,230879,0.07469633221626282,0.2396356612443924,0.1571660041809082,1,3
17,293041,0.10120008885860443,0.2929794490337372,0.1970897614955902,1,3
18,181382,0.0535924956202507,0.21985863149166107,0.1367255598306656,1,3
19,195190,0.05947975441813469,0.18318472802639008,0.12133224308490753,2,3
20,258050,0.08628112077713013,0.2468852698802948,0.16658319532871246,1,3
21,349875,0.12543217837810516,0.20447421073913574,0.16495320200920105,1,3
22,270781,0.0917091816663742,0.14874395728111267,0.12022656947374344,2,3
23,190181,0.057344093918800354,0.16672448813915253,0.11203429102897644,2,3
24,232692,0.07546932995319366,0.2295083850622177,0.1524888575077057,1,3
25,407631,0.1500573605298996,0.2948879897594452,0.2224726676940918,1,3
26,596131,0.2304273396730423,0.21762612462043762,0.22402673959732056,1,1
27,423903,0.15699519217014313,0.2110023945569992,0.18399879336357117,1,3
28,250392,0.08301600813865662,0.18354710936546326,0.13328155875205994,1,3
29,311406,0.10903030633926392,0.21387246251106262,0.16145138442516327,1,3
30,460955,0.17279291152954102,0.27862584590911865,0.22570937871932983,1,3
31,570691,0.21958059072494507,0.2744319438934326,0.24700626730918884,1,3
32,392821,0.1437428891658783,0.23387375473976135,0.18880832195281982,1,3
33,175979,0.05128883942961693,0.2033521682024002,0.12732049822807312,2,3
34,121539,0.02807747758924961,0.19678346812725067,0.11243047565221786,2,3
35,210199,0.06587908416986465,0.2634769380092621,0.16467800736427307,1,3
36,219041,0.06964901089668274,0.26086464524269104,0.1652568280696869,1,3
37,487296,0.18402381241321564,0.3162374198436737,0.25013062357902527,1,3
38,732910,0.288745254278183,0.2357773780822754,0.2622613310813904,1,3
39,768609,0.30396610498428345,0.21952879428863525,0.26174744963645935,1,3
40,1700565,0.7013204097747803,0.1592702567577362,0.43029534816741943,0,1
41,1325203,0.5412787795066833,0.15374155342578888,0.3475101590156555,0,1
42,105521,0.021247953176498413,0.09398068487644196,0.057614319026470184,2,3
43,115281,0.02540927566587925,0.23742926120758057,0.13141927123069763,2,3
44,134109,0.03343689441680908,0.29092204570770264,0.16217947006225586,1,3
45,322266,0.11366063356399536,0.22955696284770966,0.1716088056564331,1,3
46,1395385,0.5712020397186279,0.1728157103061676,0.3720088601112366,0,1
47,768459,0.30390211939811707,0.2288748323917389,0.266388475894928,1,3
48,933202,0.37414294481277466,0.1750767081975937,0.27460983395576477,1,3
49,807547,0.32056793570518494,0.21670958399772644,0.2686387598514557,1,1
50,1723061,0.7109119296073914,0.1728058159351349,0.4418588876724243,0,1
51,526888,0.2009045034646988,0.19259542226791382,0.1967499554157257,1,3
52,626011,0.24316716194152832,0.28209546208381653,0.26263129711151123,1,3
53,296299,0.1025891900062561,0.15289483964443207,0.12774202227592468,2,1
54,104048,0.02061990648508072,0.10087177902460098,0.06074584275484085,2,3
55,97815,0.017962370067834854,0.20018264651298523,0.10907250642776489,2,3
56,166141,0.047094251960515976,0.22493286430835724,0.13601355254650116,1,3
57,344950,0.12333232164382935,0.22181983292102814,0.17257606983184814,1,3
58,268574,0.09076819568872452,0.23135481774806976,0.16106151044368744,1,3
59,203842,0.06316867470741272,0.2658746838569641,0.16452167928218842,1,3
60,87065,0.013378939591348171,0.17227312922477722,0.09282603114843369,2,1
61,146145,0.038568634539842606,0.27387988567352295,0.15622426569461823,1,1
62,145709,0.03838273882865906,0.2874508798122406,0.16291680932044983,1,3
63,140020,0.03595714643597603,0.2681027352809906,0.15202994644641876,1,1
64,1215812,0.49463823437690735,0.17879649996757507,0.3367173671722412,0,3
65,1270777,0.5180734395980835,0.16167283058166504,0.33987313508987427,0,1
66,151802,0.04098058491945267,0.14297068119049072,0.0919756293296814,2,3
67,153749,0.04181072115898132,0.22943803668022156,0.13562437891960144,1,3
68,165824,0.04695909097790718,0.20090316236019135,0.12393112480640411,2,3
69,296195,0.10254484415054321,0.256724089384079,0.1796344667673111,1,3
70,364718,0.13176073133945465,0.2576732933521271,0.19471701979637146,1,3
71,214857,0.06786509603261948,0.19673031568527222,0.13229770958423615,1,3
72,150270,0.040327396243810654,0.19328372180461884,0.1168055608868599,2,1
