frame_idx,event_points,event_intensity,event_concentration,event_saliency,dynamic_label,select_flag
0,110275,0.02621881291270256,0.07730567455291748,0.05176224559545517,2,1
1,96707,0.021947598084807396,0.15748830139636993,0.08971794694662094,2,3
2,99539,0.02283911220729351,0.24148699641227722,0.13216304779052734,1,1
3,136519,0.03448044881224632,0.3098650276660919,0.17217274010181427,1,1
4,230289,0.06399931758642197,0.34020230174064636,0.20210081338882446,1,1
5,389977,0.11426922678947449,0.26330193877220154,0.188785582780838,1,3
6,846043,0.257839173078537,0.11717851459980011,0.18750885128974915,1,1
7,1201278,0.3696674406528473,0.11970064789056778,0.24468404054641724,1,3
8,597124,0.17947927117347717,0.2044781595468521,0.19197872281074524,1,3
9,902453,0.27559709548950195,0.19936862587928772,0.23748286068439484,1,3
10,814905,0.24803690612316132,0.193324476480484,0.22068068385124207,1,3
11,649178,0.1958659142255783,0.2051277607679367,0.2004968374967575,1,1
12,457797,0.13561901450157166,0.1602630466222763,0.14794102311134338,1,3
13,516623,0.1541374921798706,0.10489876568317413,0.12951812148094177,2,3
14,360492,0.10498732328414917,0.130922332406044,0.11795482784509659,2,3
15,315673,0.09087827056646347,0.20747826993465424,0.14917826652526855,1,3
16,241310,0.06746874004602432,0.22561755776405334,0.14654314517974854,1,3
17,132173,0.03311232477426529,0.1437569558620453,0.08843463659286499,2,3
18,102567,0.023792332038283348,0.1806696057319641,0.102230966091156,2,3
19,88438,0.01934451051056385,0.19459128379821777,0.10696789622306824,2,3
20,180309,0.048265572637319565,0.29171499609947205,0.16999028623104095,1,3
21,127975,0.03179078549146652,0.27511799335479736,0.15345439314842224,1,3
22,217996,0.060129471123218536,0.3695565462112427,0.2148430049419403,1,1
23,106941,0.025169266387820244,0.3217225670814514,0.1734459102153778,1,3
24,62284,0.011111210100352764,0.25014835596084595,0.1306297779083252,2,1
25,118704,0.02887226827442646,0.3599527180194855,0.194412499666214,1,3
26,133078,0.033397216349840164,0.3126257658004761,0.17301149666309357,1,3
27,82370,0.017434297129511833,0.26793238520622253,0.14268334209918976,1,3
28,78499,0.016215704381465912,0.29677844047546387,0.1564970761537552,1,3
29,68288,0.0130012733861804,0.2606455087661743,0.1368233859539032,1,3
30,213820,0.05881486088037491,0.3880573809146881,0.2234361171722412,1,3
31,95560,0.021586518734693527,0.32986053824424744,0.17572352290153503,1,3
32,47550,0.006472931709140539,0.19552360475063324,0.10099826753139496,2,3
33,86354,0.018688462674617767,0.352682888507843,0.1856856793165207,1,1
34,67289,0.01268678531050682,0.26926982402801514,0.14097830653190613,1,3
35,60456,0.010535751469433308,0.2947421073913574,0.15263892710208893,1,3
36,51556,0.007734028156846762,0.22659167647361755,0.11716285347938538,2,3
37,86933,0.018870733678340912,0.36899086833000183,0.19393080472946167,1,1
38,100928,0.023276370018720627,0.3037896454334259,0.16353300213813782,1,3
39,147077,0.03780411556363106,0.37513402104377747,0.2064690738916397,1,3
40,133906,0.033657871186733246,0.2972809970378876,0.1654694378376007,1,3
41,139390,0.03538424149155617,0.36866772174835205,0.20202597975730896,1,1
42,64564,0.011828952468931675,0.2276197373867035,0.1197243481874466,2,3
43,71665,0.014064355753362179,0.3000342547893524,0.157049298286438,1,3
44,155928,0.04059041664004326,0.341077983379364,0.1908341944217682,1,3
45,150580,0.03890686109662056,0.32002249360084534,0.1794646829366684,1,3
46,158704,0.04146430268883705,0.34501174092292786,0.1932380199432373,1,1
47,111029,0.02645617350935936,0.2850166857242584,0.15573643147945404,1,3
48,72405,0.014297308400273323,0.2415282279253006,0.12791277468204498,2,1
49,62309,0.011119077913463116,0.21607527136802673,0.11359717696905136,2,3
50,55897,0.009100576862692833,0.25274813175201416,0.13092435896396637,2,3
51,40347,0.0042054238729178905,0.17950426042079926,0.09185484051704407,2,3
52,48011,0.006618059240281582,0.22489245235919952,0.11575525254011154,2,3
53,42952,0.005025478545576334,0.19281339645385742,0.09891943633556366,2,3
54,26988,0.0,0.0988510474562645,0.04942552372813225,2,3
55,28671,0.0005298088653944433,0.1332988142967224,0.06691431254148483,2,3
56,27906,0.0002889886382035911,0.11920379102230072,0.0597463883459568,2,3
57,40061,0.004115390591323376,0.22452665865421295,0.1143210232257843,2,3
58,41552,0.004584756679832935,0.2089221328496933,0.10675344616174698,2,3
59,38814,0.003722833003848791,0.15673449635505676,0.08022866398096085,2,3
