frame_idx,event_points,event_intensity,event_concentration,event_saliency,dynamic_label,select_flag
0,142014,0.20290064811706543,0.1052090972661972,0.15405488014221191,1,1
1,107754,0.1475566178560257,0.09466595947742462,0.12111128866672516,2,1
2,131310,0.18560926616191864,0.14494656026363373,0.16527791321277618,1,1
3,131923,0.1865995079278946,0.15130482614040375,0.16895216703414917,1,3
4,166729,0.24282556772232056,0.20859117805957794,0.22570836544036865,1,3
5,182098,0.26765283942222595,0.2524130940437317,0.2600329518318176,1,3
6,186896,0.27540358901023865,0.23768098652362823,0.25654229521751404,1,3
7,261916,0.39659178256988525,0.30348509550094604,0.35003843903541565,0,1
8,299134,0.4567141830921173,0.298880010843277,0.37779709696769714,0,1
9,344463,0.5299392342567444,0.3051588237285614,0.4175490140914917,0,3
10,320600,0.4913906455039978,0.2589934170246124,0.3751920461654663,0,3
11,264832,0.4013023376464844,0.2712182402610779,0.33626028895378113,0,3
12,423884,0.6582369208335876,0.31369534134864807,0.48596614599227905,0,3
13,421247,0.65397709608078,0.29267582297325134,0.4733264446258545,0,3
14,472070,0.7360771298408508,0.26702094078063965,0.5015490055084229,0,3
15,293934,0.4483140707015991,0.24437934160232544,0.3463467061519623,0,3
16,338403,0.520149827003479,0.2866002023220062,0.4033750295639038,0,3
17,544456,0.853010356426239,0.29017946124076843,0.5715948939323425,0,1
18,479132,0.7474852204322815,0.2666811943054199,0.5070831775665283,0,3
19,309445,0.4733707010746002,0.22939954698085785,0.35138511657714844,0,3
20,315266,0.4827740490436554,0.24604958295822144,0.3644118309020996,0,3
21,349908,0.5387351512908936,0.26143670082092285,0.4000859260559082,0,3
22,234451,0.3522244989871979,0.25486698746681213,0.303545743227005,0,3
23,285937,0.43539562821388245,0.2524392008781433,0.3439174294471741,0,3
24,372240,0.5748105645179749,0.2722315490245819,0.4235210418701172,0,3
25,268230,0.4067915081977844,0.2786319851875305,0.34271174669265747,0,3
26,261975,0.3966870903968811,0.3321460485458374,0.36441656947135925,0,3
27,260624,0.3945046663284302,0.3766981065273285,0.3856014013290405,0,3
28,287980,0.4386959373950958,0.4091077148914337,0.42390182614326477,0,3
29,299794,0.4577803909778595,0.4530009329319,0.45539066195487976,0,3
30,263863,0.39973703026771545,0.38278284668922424,0.39125993847846985,0,1
31,282183,0.42933136224746704,0.4236654043197632,0.4264983832836151,0,3
32,167645,0.24430526793003082,0.2985702157020569,0.27143773436546326,1,3
33,380562,0.5882539749145508,0.3255142271518707,0.45688408613204956,0,1
34,561084,0.8798714876174927,0.32537853717803955,0.6026250123977661,0,3
35,635448,1.0,0.33059635758399963,0.6652981638908386,0,3
36,434030,0.674626886844635,0.34963923692703247,0.5121330618858337,0,3
37,225451,0.33768579363822937,0.2714591920375824,0.3045724928379059,0,3
38,360118,0.5552285313606262,0.3071122467517853,0.43117040395736694,0,3
39,431605,0.670709490776062,0.2888581156730652,0.4797838032245636,0,1
40,247914,0.3739727735519409,0.2600648105144501,0.3170188069343567,0,3
41,232852,0.34964144229888916,0.26037487387657166,0.3050081729888916,0,3
42,183352,0.26967853307724,0.25896140933036804,0.2643199563026428,1,3
43,201454,0.29892075061798096,0.3056459128856659,0.3022833466529846,0,3
44,282857,0.4304201304912567,0.2777882516384125,0.3541041910648346,0,3
45,276217,0.41969382762908936,0.306359201669693,0.36302649974823,0,1
46,209320,0.311627596616745,0.2336961179971695,0.27266186475753784,1,1
47,189236,0.27918362617492676,0.22672000527381897,0.25295180082321167,1,3
48,261308,0.39560964703559875,0.29337283968925476,0.34449124336242676,0,3
49,246292,0.37135258316993713,0.30274131894111633,0.33704695105552673,0,3
50,239032,0.3596246838569641,0.3672000765800476,0.36341238021850586,0,3
51,149582,0.21512606739997864,0.2572031319141388,0.23616459965705872,1,3
52,116746,0.16208240389823914,0.20408526062965393,0.18308383226394653,1,3
53,107507,0.14715760946273804,0.18469157814979553,0.16592459380626678,1,1
54,148077,0.21269486844539642,0.14401496946811676,0.1783549189567566,1,3
55,176052,0.25788602232933044,0.15403620898723602,0.20596110820770264,1,1
56,202415,0.300473153591156,0.19665102660655975,0.24856209754943848,1,1
57,197341,0.2922765612602234,0.15546436607837677,0.22387045621871948,1,1
58,138313,0.19692198932170868,0.1270734965801239,0.1619977355003357,1,3
59,98106,0.13197112083435059,0.10067623108625412,0.11632367968559265,2,1
60,88854,0.11702531576156616,0.12133635580539703,0.1191808357834816,2,3
61,84199,0.10950558632612228,0.08072012662887573,0.0951128602027893,2,3
62,89251,0.11766662448644638,0.1266181915998459,0.12214240431785583,2,3
63,98443,0.13251550495624542,0.12747794389724731,0.12999671697616577,2,3
64,76840,0.09761776775121689,0.08070897310972214,0.08916337043046951,2,3
65,66869,0.08151047676801682,0.0660981684923172,0.07380431890487671,2,3
66,60709,0.07155954092741013,0.06503460556268692,0.06829707324504852,2,3
67,54246,0.06111912801861763,0.060752637684345245,0.06093588471412659,2,3
68,52487,0.05827763304114342,0.060204923152923584,0.05924127995967865,2,1
69,51473,0.056639593094587326,0.0601859912276268,0.058412790298461914,2,3
70,16411,0.0,0.06465783715248108,0.03232891857624054,2,3
