frame_idx,event_points,event_intensity,event_concentration,event_saliency,dynamic_label,select_flag
0,202242,0.08051115274429321,0.18931542336940765,0.13491329550743103,1,1
1,164512,0.0560121051967144,0.16323322057724,0.10962266474962234,2,3
2,227589,0.0969696044921875,0.20683306455612183,0.15190133452415466,1,3
3,745156,0.43303897976875305,0.25866425037384033,0.3458516001701355,0,1
4,1618310,1.0,0.18047040700912476,0.5902352333068848,0,1
5,1501657,0.924254298210144,0.14763587713241577,0.5359450578689575,0,1
6,643870,0.36727139353752136,0.19877709448337555,0.28302425146102905,1,3
7,293135,0.13953028619289398,0.16444364190101624,0.1519869565963745,1,3
8,201602,0.08009558916091919,0.14572285115718842,0.1129092201590538,2,1
9,208114,0.08432399481534958,0.19660381972789764,0.1404639035463333,1,3
10,263116,0.12003818154335022,0.17993779480457306,0.14998799562454224,1,3
11,163747,0.05551537126302719,0.1351245939731598,0.09531998634338379,2,3
12,175829,0.06336051970720291,0.19282053411006927,0.1280905306339264,2,3
13,187589,0.07099658995866776,0.23606789112091064,0.1535322368144989,1,3
14,233091,0.10054218769073486,0.21730980277061462,0.15892599523067474,1,3
15,178310,0.06497149914503098,0.20478160679340363,0.134876549243927,1,3
16,191177,0.07332636415958405,0.20320945978164673,0.1382679045200348,1,3
17,167323,0.057837359607219696,0.2176263928413391,0.1377318799495697,1,3
18,222728,0.09381324052810669,0.19434377551078796,0.14407850801944733,1,3
19,238095,0.10379141569137573,0.19841977953910828,0.151105597615242,1,3
20,142049,0.04142630845308304,0.2105664312839508,0.12599636614322662,2,3
21,162457,0.05467774346470833,0.23929144442081451,0.14698459208011627,1,3
22,154682,0.04962923750281334,0.2795551121234894,0.1645921766757965,1,3
23,147993,0.0452859029173851,0.298936128616333,0.17211101949214935,1,3
24,194023,0.07517434656620026,0.2800862193107605,0.17763027548789978,1,3
25,267618,0.12296144664287567,0.28463491797447205,0.20379817485809326,1,3
26,155476,0.050144799053668976,0.2371409386396408,0.1436428725719452,1,3
27,159691,0.05288171023130417,0.24636587500572205,0.1496237963438034,1,3
28,164064,0.055721208453178406,0.2674444913864136,0.1615828573703766,1,3
29,161291,0.05392063036561012,0.2530876696109772,0.1535041481256485,1,3
30,155490,0.05015389248728752,0.23233860731124878,0.1412462443113327,1,1
31,226514,0.0962715670466423,0.2708663046360016,0.18356893956661224,1,3
32,419448,0.22154851257801056,0.27640995383262634,0.24897924065589905,1,3
33,449689,0.2411847561597824,0.23831260204315186,0.23974868655204773,1,1
34,490329,0.26757335662841797,0.2021387219429016,0.2348560392856598,1,3
35,310065,0.1505233645439148,0.19656170904636383,0.17354252934455872,1,3
36,167553,0.057986702769994736,0.14465171098709106,0.10131920874118805,2,3
37,146465,0.044293731451034546,0.1728341281414032,0.10856392979621887,2,3
38,261978,0.1192992553114891,0.2177973985671997,0.1685483306646347,1,3
39,207508,0.08393049240112305,0.2220926731824875,0.15301159024238586,1,1
40,300927,0.14458982646465302,0.29102757573127747,0.21780869364738464,1,3
41,186159,0.07006804645061493,0.24552130699157715,0.15779468417167664,1,3
42,314646,0.15349791944026947,0.291739821434021,0.22261887788772583,1,3
43,212298,0.08704076707363129,0.2373180091381073,0.1621793806552887,1,1
44,140643,0.040513355284929276,0.2150256335735321,0.12776950001716614,2,1
45,156883,0.05105840414762497,0.24080398678779602,0.1459311991930008,1,3
46,130311,0.03380453214049339,0.26049572229385376,0.14715012907981873,1,3
47,128404,0.03256627172231674,0.2566993534564972,0.14463281631469727,1,3
48,78250,0.0,0.17434552311897278,0.08717276155948639,2,3
49,118437,0.02609444409608841,0.28610730171203613,0.15610086917877197,1,3
50,162320,0.05458878353238106,0.27482670545578003,0.164707750082016,1,1
51,157526,0.05147591978311539,0.2459418922662735,0.14870890974998474,1,1
52,239274,0.10455697029829025,0.2595237195491791,0.18204034864902496,1,3
53,230185,0.09865525364875793,0.27543553709983826,0.1870453953742981,1,3
54,117936,0.025769121944904327,0.2137843817472458,0.11977675557136536,2,1
55,110044,0.020644646137952805,0.21525278687477112,0.11794871836900711,2,3
