frame_idx,event_points,event_intensity,event_concentration,event_saliency,dynamic_label,select_flag
0,85724,0.020728373900055885,0.0515052005648613,0.03611678630113602,2,1
1,60470,0.012254899367690086,0.05012962967157364,0.031192265450954437,2,3
2,50257,0.00882812961935997,0.05218566581606865,0.03050689771771431,2,3
3,42996,0.00639184657484293,0.05278518423438072,0.02958851493895054,2,3
4,39775,0.005311103537678719,0.055676259100437164,0.030493680387735367,2,3
5,35155,0.00376095506362617,0.056095875799655914,0.02992841601371765,2,3
6,32625,0.0029120652470737696,0.057371243834495544,0.03014165535569191,2,3
7,30446,0.002180943265557289,0.057407040148973465,0.02979399263858795,2,3
8,30532,0.002209798665717244,0.055925458669662476,0.02906762808561325,2,3
9,30166,0.0020869956351816654,0.057141244411468506,0.029614120721817017,2,3
10,30022,0.00203868024982512,0.060242585837841034,0.031140632927417755,2,3
11,28960,0.001682346686720848,0.05891411378979683,0.030298229306936264,2,3
12,28677,0.0015873908996582031,0.06640815734863281,0.03399777412414551,2,3
13,28942,0.001676306244917214,0.06081627309322357,0.031246289610862732,2,3
14,31248,0.002450039144605398,0.06295838952064514,0.03270421549677849,2,3
15,29134,0.0017407293198630214,0.06542252749204636,0.033581629395484924,2,3
16,27009,0.0010277259862050414,0.06350622326135635,0.032266974449157715,2,3
17,26890,0.0009877979755401611,0.06745857745409012,0.03422318771481514,2,3
18,26014,0.0006938739097677171,0.0691903829574585,0.034942127764225006,2,3
19,25820,0.0006287815049290657,0.06706295907497406,0.033845871686935425,2,3
20,23946,0.0,0.07030230760574341,0.035151153802871704,2,3
21,24428,0.00016172294272109866,0.06814245879650116,0.034152090549468994,2,3
22,114973,0.030542293563485146,0.4516240656375885,0.24108317494392395,1,1
23,71093,0.015819232910871506,0.370437890291214,0.1931285560131073,1,3
24,82782,0.019741244614124298,0.35999104380607605,0.18986614048480988,1,3
25,82906,0.01978285051882267,0.3849692940711975,0.20237606763839722,1,3
26,35751,0.003960931207984686,0.09811127185821533,0.05103610083460808,2,3
27,69289,0.015213938429951668,0.29723456501960754,0.15622425079345703,1,3
28,83193,0.01987914741039276,0.3629688024520874,0.19142398238182068,1,1
29,41637,0.005935860797762871,0.1250493824481964,0.06549262255430222,2,3
30,34013,0.003377779619768262,0.08113656938076019,0.04225717484951019,2,3
31,32763,0.0029583671130239964,0.0860607773065567,0.04450957104563713,2,3
32,31356,0.0024862762074917555,0.07208164781332016,0.03728396072983742,2,3
33,28785,0.0016236279625445604,0.0689578652381897,0.03529074788093567,2,3
34,30259,0.0021182005293667316,0.06697280704975128,0.03454550355672836,2,3
35,28638,0.0015743046533316374,0.0631398931145668,0.032357100397348404,2,3
36,29630,0.0019071513088420033,0.06345079094171524,0.03267897292971611,2,3
37,29219,0.001769248628988862,0.06913776695728302,0.03545350953936577,2,3
38,37636,0.00459340400993824,0.10746091604232788,0.056027159094810486,2,3
39,99783,0.025445591658353806,0.3772130608558655,0.2013293206691742,1,1
40,140410,0.03907717019319534,0.3957097828388214,0.21739347279071808,1,3
41,114162,0.030270176008343697,0.3244244456291199,0.1773473173379898,1,1
42,55168,0.010475916787981987,0.17612898349761963,0.09330245107412338,2,1
43,42751,0.006309641059488058,0.10924816131591797,0.05777890235185623,2,3
44,36911,0.004350144416093826,0.07401364296674728,0.039181895554065704,2,3
45,39664,0.00527386087924242,0.0899960845708847,0.047634974122047424,2,3
46,35709,0.003946839831769466,0.08245274424552917,0.04319979250431061,2,3
47,40607,0.00559026375412941,0.11470846086740494,0.06014936417341232,2,3
48,40638,0.005600667092949152,0.10449226200580597,0.05504646524786949,2,3
49,46296,0.007499095518141985,0.11123339831829071,0.05936624854803085,2,3
50,52681,0.009641454555094242,0.13848929107189178,0.07406537234783173,2,3
51,66397,0.014243584126234055,0.18191279470920563,0.09807819128036499,2,3
52,69019,0.015123345889151096,0.18973326683044434,0.10242830961942673,2,3
53,66311,0.014214728958904743,0.15924502909183502,0.08672987669706345,2,3
54,66800,0.014378804713487625,0.16316093504428864,0.08876986801624298,2,3
55,82199,0.019545631483197212,0.2451935112476349,0.13236957788467407,1,1
56,97418,0.024652061983942986,0.2873646914958954,0.15600837767124176,1,3
57,96201,0.02424372173845768,0.26804542541503906,0.1461445689201355,1,3
58,101952,0.02617335505783558,0.2784060537815094,0.15228970348834991,1,3
59,92691,0.02306601218879223,0.2825945019721985,0.15283025801181793,1,1
60,122302,0.03300139307975769,0.33258676528930664,0.18279407918453217,1,3
61,72491,0.016288304701447487,0.18813346326351166,0.1022108867764473,2,1
62,74879,0.01708955131471157,0.20898175239562988,0.113035649061203,2,3
63,64898,0.013740625232458115,0.19652467966079712,0.10513265430927277,2,3
64,85526,0.020661938935518265,0.20465438067913055,0.11265815794467926,2,3
65,108335,0.028315044939517975,0.2649917006492615,0.14665336906909943,1,3
66,144487,0.040445126593112946,0.2906056046485901,0.16552536189556122,1,1
67,289040,0.08894700556993484,0.2828516364097595,0.18589931726455688,1,1
68,325337,0.10112573206424713,0.2819039821624756,0.19151484966278076,1,3
69,377156,0.11851257085800171,0.2886905372142792,0.20360155403614044,1,3
70,266884,0.08151299506425858,0.2751242518424988,0.17831861972808838,1,3
71,117360,0.03134320303797722,0.19075076282024384,0.11104698479175568,2,1
72,81361,0.019264457747340202,0.17308245599269867,0.09617345780134201,2,3
73,67136,0.014491543173789978,0.14411881566047668,0.07930517941713333,2,3
74,60476,0.012256910093128681,0.1307327002286911,0.07149480283260345,2,3
75,175310,0.050787169486284256,0.32969406247138977,0.19024062156677246,1,1
76,180745,0.05261077731847763,0.26468443870544434,0.15864761173725128,1,3
77,170021,0.049012552946805954,0.25209924578666687,0.15055589377880096,1,1
78,113312,0.029984978958964348,0.24125313758850098,0.13561905920505524,1,1
79,130306,0.03568697348237038,0.2565944194793701,0.1461406946182251,1,3
80,116687,0.03111739084124565,0.247144415974617,0.13913090527057648,1,3
81,133044,0.036605656147003174,0.2929236590862274,0.1647646576166153,1,3
82,87953,0.021476270630955696,0.21255949139595032,0.11701788008213043,2,1
83,63975,0.013430931605398655,0.12050232291221619,0.06696663051843643,2,3
84,54588,0.010281311348080635,0.10841447114944458,0.05934789031744003,2,3
85,58959,0.011747913435101509,0.15376755595207214,0.08275773376226425,2,3
86,63692,0.01333597581833601,0.17803998291492462,0.09568797796964645,2,3
87,46501,0.007567878812551498,0.10532636940479279,0.05644712597131729,2,3
88,59657,0.011982113122940063,0.17478956282138824,0.09338583797216415,2,3
89,91866,0.02278919890522957,0.25675085186958313,0.1397700309753418,1,3
90,113273,0.02997189201414585,0.2951630651950836,0.16256748139858246,1,3
91,106246,0.02761412225663662,0.21348115801811218,0.12054763734340668,2,3
92,153108,0.043337732553482056,0.24900005757808685,0.14616888761520386,1,1
93,135294,0.037360597401857376,0.2774425446987152,0.15740157663822174,1,3
94,141947,0.03959288075566292,0.24787430465221405,0.14373359084129333,1,1
95,193431,0.056867312639951706,0.25037044286727905,0.15361887216567993,1,1
96,314189,0.09738525748252869,0.2595391869544983,0.1784622222185135,1,3
97,473062,0.1506919115781784,0.26664379239082336,0.2086678445339203,1,1
98,395711,0.12473832815885544,0.21367792785167694,0.1692081242799759,1,3
99,363125,0.11380474269390106,0.20329144597053528,0.15854808688163757,1,1
100,256090,0.0778912827372551,0.166243776679039,0.12206752598285675,2,3
101,309543,0.09582637250423431,0.21244272589683533,0.15413454174995422,1,1
102,390456,0.12297511845827103,0.2644778788089752,0.19372649490833282,1,3
103,367634,0.11531764268875122,0.2421252727508545,0.17872145771980286,1,3
104,277263,0.08499546349048615,0.22737561166286469,0.15618553757667542,1,3
105,139198,0.038670510053634644,0.13576491177082062,0.08721771091222763,2,3
106,124925,0.03388148918747902,0.17123018205165863,0.10255583375692368,2,3
107,118515,0.03173074126243591,0.17409180104732513,0.10291127115488052,2,3
108,122752,0.03315237909555435,0.17708438634872437,0.10511837899684906,2,3
109,106124,0.02757318690419197,0.17891153693199158,0.10324236005544662,2,3
110,155178,0.04403227940201759,0.2787376940250397,0.16138498485088348,1,3
111,141843,0.039557985961437225,0.25484976172447205,0.14720387756824493,1,3
112,121251,0.03264874964952469,0.24487999081611633,0.1387643665075302,1,3
113,130394,0.035716503858566284,0.25439196825027466,0.14505423605442047,1,3
114,203524,0.0602538138628006,0.30617624521255493,0.18321502208709717,1,3
115,118750,0.03180959075689316,0.2314807027578354,0.13164514303207397,2,3
116,150979,0.04262338951230049,0.26890307664871216,0.15576323866844177,1,3
117,78302,0.018238069489598274,0.15333455801010132,0.08578631281852722,2,3
118,95027,0.023849809542298317,0.17501968145370483,0.0994347482919693,2,3
119,57415,0.011229854077100754,0.11960121989250183,0.06541553884744644,2,3
120,54074,0.01010884903371334,0.14240331947803497,0.07625608146190643,2,3
121,49646,0.008623121306300163,0.15162503719329834,0.08012408018112183,2,3
122,66884,0.014406987465918064,0.21754243969917297,0.11597471684217453,2,3
123,127637,0.03479144349694252,0.32949593663215637,0.1821436882019043,1,1
124,99591,0.025381170213222504,0.29166752099990845,0.15852434933185577,1,3
125,89115,0.02186615578830242,0.3208513855934143,0.17135876417160034,1,1
126,82710,0.019717087969183922,0.30577248334884644,0.16274479031562805,1,1
127,70797,0.01571991667151451,0.27664804458618164,0.14618398249149323,1,1
128,79822,0.018748076632618904,0.28801313042640686,0.1533806025981903,1,3
129,82593,0.01967782899737358,0.32582756876945496,0.17275269329547882,1,1
130,76241,0.01754654385149479,0.2920528054237366,0.1547996699810028,1,1
131,71144,0.01583634689450264,0.20202699303627014,0.10893166810274124,2,3
132,63846,0.013387649320065975,0.19483952224254608,0.10411358624696732,2,3
133,108871,0.028494887053966522,0.2934699058532715,0.1609824001789093,1,3
134,168421,0.048475705087184906,0.24081744253635406,0.1446465700864792,1,3
135,245925,0.07448062300682068,0.2538258135318756,0.16415321826934814,1,1
136,261828,0.0798165574669838,0.2687830626964569,0.17429980635643005,1,3
137,220961,0.066104456782341,0.23988057672977448,0.15299251675605774,1,3
138,212816,0.06337156146764755,0.22601599991321564,0.1446937769651413,1,3
139,285575,0.08778439462184906,0.23975782096385956,0.1637711077928543,1,1
140,189812,0.055653028190135956,0.21747030317783356,0.13656166195869446,1,1
141,171308,0.04944438114762306,0.25382208824157715,0.15163323283195496,1,1
142,233356,0.0702633485198021,0.2794313132762909,0.1748473346233368,1,1
143,129369,0.03537258133292198,0.2136172205209732,0.12449490278959274,2,3
144,123282,0.03333021327853203,0.2225538194179535,0.1279420107603073,2,3
145,164865,0.04728255793452263,0.26122596859931946,0.1542542576789856,1,1
146,112499,0.029712190851569176,0.22005116939544678,0.12488167732954025,2,3
147,162568,0.04651184380054474,0.27996450662612915,0.16323816776275635,1,3
148,95641,0.024055827409029007,0.2043602615594864,0.11420804262161255,2,3
149,121167,0.032620564103126526,0.2665237784385681,0.14957216382026672,1,3
150,166722,0.04790563881397247,0.28915178775787354,0.1685287058353424,1,3
151,416238,0.13162575662136078,0.3455529510974884,0.238589346408844,1,1
152,340805,0.1063157171010971,0.2789400517940521,0.19262787699699402,1,3
153,213540,0.06361448019742966,0.2545172870159149,0.15906588733196259,1,1
154,183320,0.05347476527094841,0.24069572985172272,0.1470852494239807,1,3
155,274693,0.08413314819335938,0.30764269828796387,0.19588792324066162,1,1
156,303577,0.093824602663517,0.30536386370658875,0.19959422945976257,1,1
157,208736,0.06200259551405907,0.29857492446899414,0.18028876185417175,1,3
158,91368,0.022622106596827507,0.1796712577342987,0.10114668309688568,2,3
159,60699,0.012331734411418438,0.11310730874538422,0.06271952390670776,2,3
160,60875,0.01239078864455223,0.12007740139961243,0.06623409688472748,2,3
161,56979,0.011083563789725304,0.12212405353784561,0.06660380959510803,2,3
162,55334,0.010531616397202015,0.10995010286569595,0.060240861028432846,2,3
163,45024,0.0070723011158406734,0.08606412261724472,0.046568211168050766,2,3
164,38372,0.004840353969484568,0.07007581740617752,0.037458084523677826,2,3
165,37772,0.004639036487787962,0.0709044560790062,0.03777174651622772,2,3
166,35603,0.003911272156983614,0.06593069434165955,0.034920983016490936,2,3
167,39202,0.005118845030665398,0.07351886481046677,0.03931885585188866,2,3
168,37241,0.0044608693569898605,0.06604968011379242,0.035255275666713715,2,3
169,37941,0.004695741459727287,0.07725537568330765,0.04097555950284004,2,3
170,37431,0.004524620249867439,0.08233620226383209,0.04343041032552719,2,3
171,36707,0.004281697329133749,0.07376052439212799,0.03902111202478409,2,3
172,34948,0.003691499587148428,0.07182939350605011,0.03776044771075249,2,3
173,34288,0.003470049938187003,0.06764282286167145,0.03555643558502197,2,3
174,34488,0.003537155920639634,0.06742104887962341,0.0354791022837162,2,3
175,36123,0.004085747990757227,0.06898525357246399,0.03653550148010254,2,3
176,37347,0.004496437031775713,0.07403744757175446,0.03926694393157959,2,3
177,40288,0.005483229644596577,0.1001092866063118,0.05279625952243805,2,3
178,51606,0.009280760772526264,0.18113775551319122,0.09520925581455231,2,3
179,53254,0.009833713062107563,0.1832721084356308,0.09655290842056274,2,3
180,58529,0.011603633873164654,0.17306585609912872,0.09233474731445312,2,3
181,82807,0.019749633967876434,0.21756942570209503,0.11865952610969543,2,3
182,95171,0.02389812469482422,0.2851763367652893,0.15453723073005676,1,1
183,132899,0.03655700385570526,0.3571040630340576,0.19683054089546204,1,1
184,210816,0.06270050257444382,0.34961840510368347,0.20615945756435394,1,1
185,318872,0.09895653277635574,0.3610629737377167,0.2300097495317459,1,3
186,341698,0.1066153421998024,0.3298105299472809,0.21821293234825134,1,3
187,174778,0.050608668476343155,0.3068208694458008,0.17871476709842682,1,1
188,65689,0.014006029814481735,0.10473879426717758,0.05937241017818451,2,3
189,47082,0.007762822788208723,0.060360994189977646,0.03406190872192383,2,3
190,42209,0.0061277830973267555,0.056264884769916534,0.031196333467960358,2,3
191,45128,0.007107196841388941,0.08141114562749863,0.044259171932935715,2,3
192,43154,0.006444860715419054,0.07744324207305908,0.041944053024053574,2,3
193,37191,0.004444094840437174,0.061072833836078644,0.03275846317410469,2,3
194,33971,0.0033636880107223988,0.05931341275572777,0.03133855015039444,2,3
195,35453,0.00386094325222075,0.06726867705583572,0.035564810037612915,2,3
196,79906,0.018776262179017067,0.25317883491516113,0.13597755134105682,1,3
197,292912,0.09024617820978165,0.35539528727531433,0.2228207290172577,1,1
198,285476,0.08775117248296738,0.3382692337036133,0.21301020681858063,1,1
199,212359,0.06321822106838226,0.29355746507644653,0.178387850522995,1,3
200,150138,0.0423412062227726,0.28056469559669495,0.16145294904708862,1,1
201,93755,0.02342301607131958,0.1842683106660843,0.10384566336870193,2,1
202,83523,0.019989872351288795,0.18395720422267914,0.10197354108095169,2,3
203,76331,0.017576739192008972,0.1756857931613922,0.09663126617670059,2,3
204,52694,0.009645817801356316,0.11451416462659836,0.06207999214529991,2,3
205,54083,0.010111868381500244,0.12808719277381897,0.0690995305776596,2,3
206,68406,0.014917665161192417,0.16591092944145203,0.09041430056095123,2,3
207,78041,0.01815049722790718,0.2063523679971695,0.11225143074989319,2,3
208,81952,0.01946275308728218,0.20818623900413513,0.11382449418306351,2,3
209,61808,0.012703836895525455,0.1619376838207245,0.08732075989246368,2,3
210,57130,0.01113422866910696,0.15288890898227692,0.08201156556606293,2,3
211,60774,0.012356898747384548,0.175123929977417,0.09374041110277176,2,3
212,52991,0.009745470248162746,0.1230388730764389,0.06639216840267181,2,3
213,47865,0.00802554190158844,0.12023210525512695,0.0641288235783577,2,3
214,52773,0.009672323241829872,0.11772086471319199,0.06369659304618835,2,3
215,46393,0.0075316415168344975,0.09192901104688644,0.0497303269803524,2,3
216,43125,0.006435129325836897,0.07327289879322052,0.0398540124297142,2,3
217,48821,0.008346308022737503,0.10799131542444229,0.058168813586235046,2,3
218,61724,0.012675654143095016,0.1885044127702713,0.10059003531932831,2,3
219,52591,0.009611258283257484,0.1474597305059433,0.07853549718856812,2,3
220,53523,0.009923970326781273,0.13756141066551208,0.07374268770217896,2,3
221,58542,0.011607997119426727,0.17429859936237335,0.09295329451560974,2,3
222,94466,0.023661576211452484,0.2618355453014374,0.14274856448173523,1,3
223,84374,0.020275408402085304,0.2477155476808548,0.13399547338485718,1,1
224,74598,0.016995267942547798,0.21713246405124664,0.11706386506557465,2,3
225,115980,0.030880169942975044,0.2946106493473053,0.1627454161643982,1,3
226,56176,0.010814132168889046,0.15362992882728577,0.08222202956676483,2,3
227,69261,0.015204543247818947,0.1856619119644165,0.10043323040008545,2,3
228,74769,0.01705264300107956,0.21246439218521118,0.11475852131843567,2,3
229,82658,0.019699638709425926,0.2088475376367569,0.11427358537912369,2,3
230,77132,0.017845500260591507,0.1989145278930664,0.10838001221418381,2,3
231,94792,0.023770960047841072,0.22554758191108704,0.12465927004814148,2,3
232,113174,0.029938675463199615,0.2684980034828186,0.1492183357477188,1,1
233,72911,0.016429226845502853,0.1764788180589676,0.09645402431488037,2,3
234,72574,0.016316154971718788,0.18079935014247894,0.09855775535106659,2,3
235,125315,0.03401234745979309,0.3001822531223297,0.1670973002910614,1,3
236,151843,0.0429132878780365,0.3260175585746765,0.1844654232263565,1,3
237,222617,0.0666600838303566,0.3565610647201538,0.2116105705499649,1,1
238,146787,0.04121684655547142,0.325346976518631,0.18328191339969635,1,3
239,132694,0.03648822009563446,0.29732996225357056,0.1669090986251831,1,3
240,116144,0.030935198068618774,0.2975556254386902,0.16424541175365448,1,1
241,69892,0.015416261740028858,0.1780468374490738,0.09673155099153519,2,1
242,59333,0.011873401701450348,0.13832999765872955,0.07510170340538025,2,3
243,97007,0.024514159187674522,0.28752678632736206,0.15602047741413116,1,1
244,101062,0.025874735787510872,0.2550743520259857,0.14047454297542572,1,3
245,77029,0.017810940742492676,0.20601820945739746,0.11191457509994507,2,3
246,158051,0.04499625787138939,0.2895873188972473,0.1672917902469635,1,3
247,169532,0.0488484762609005,0.30978649854660034,0.17931748926639557,1,3
248,125404,0.03404220566153526,0.24767610430717468,0.14085915684700012,1,1
249,81739,0.019391287118196487,0.18558649718761444,0.10248889029026031,2,3
250,57515,0.011263407766819,0.10753139853477478,0.05939740315079689,2,3
251,53011,0.009752179495990276,0.09508779644966125,0.052419986575841904,2,3
252,48473,0.008229545317590237,0.06591817736625671,0.03707386180758476,2,3
253,46873,0.007692695129662752,0.06744438409805298,0.03756853938102722,2,3
254,56366,0.010877883061766624,0.11265416443347931,0.06176602467894554,2,3
255,134909,0.03723141923546791,0.2952702045440674,0.1662508100271225,1,1
256,112185,0.029606834053993225,0.20999065041542053,0.11979874223470688,2,3
257,118449,0.03170859441161156,0.21021977066993713,0.1209641844034195,2,3
258,167914,0.048305585980415344,0.3120904564857483,0.18019801378250122,1,1
259,210700,0.06266158074140549,0.2968839704990387,0.1797727793455124,1,3
260,178752,0.051942065358161926,0.2597467005252838,0.15584439039230347,1,1
261,122802,0.033169157803058624,0.18355631828308105,0.10836273431777954,2,1
262,149861,0.04224826395511627,0.24916385114192963,0.14570605754852295,1,3
263,102800,0.026457883417606354,0.18923519551753998,0.10784654319286346,2,3
264,126680,0.034470342099666595,0.27684637904167175,0.15565836429595947,1,1
265,101633,0.02606632187962532,0.26061391830444336,0.1433401256799698,1,1
266,91090,0.02252882905304432,0.17712196707725525,0.09982539713382721,2,3
267,128538,0.0350937582552433,0.23127217590808868,0.13318297266960144,1,1
268,86459,0.020974988117814064,0.18360446393489838,0.10228972882032394,2,1
269,112345,0.02966051921248436,0.2933415174484253,0.16150102019309998,1,3
270,85638,0.020699517801404,0.21796487271785736,0.1193321943283081,2,1
271,92568,0.02302474156022072,0.26565417647361755,0.144339457154274,1,3
272,195339,0.05750750005245209,0.3072562515735626,0.18238186836242676,1,3
273,147758,0.041542645543813705,0.2655334770679474,0.1535380631685257,1,1
274,102718,0.026430372148752213,0.20074832439422607,0.113589346408844,2,3
275,80551,0.018992677330970764,0.17394861578941345,0.09647064656019211,2,3
276,62455,0.012920926325023174,0.11927183717489243,0.06609638035297394,2,3
277,76786,0.01772940717637539,0.2187601774930954,0.11824478954076767,2,3
278,53121,0.009789088740944862,0.11525597423315048,0.0625225305557251,2,3
279,54752,0.010336336679756641,0.1352156698703766,0.07277600467205048,2,3
280,49577,0.008599970489740372,0.13582120835781097,0.07221058756113052,2,3
281,44603,0.006931043229997158,0.12179500609636307,0.0643630251288414,2,3
282,47345,0.007851066067814827,0.16209813952445984,0.08497460186481476,2,3
283,50938,0.00905662588775158,0.14826954901218414,0.07866308838129044,2,3
284,47708,0.007972863502800465,0.11568062007427216,0.06182674318552017,2,3
285,46770,0.007658135611563921,0.12231060862541199,0.06498437374830246,2,3
286,38634,0.004928263835608959,0.09178733080625534,0.04835779592394829,2,3
287,80386,0.01893731579184532,0.29469743371009827,0.15681737661361694,1,3
288,305972,0.09462819248437881,0.334943950176239,0.21478606760501862,1,1
289,432658,0.13713514804840088,0.3131381571292877,0.2251366525888443,1,1
290,402715,0.12708838284015656,0.27210888266563416,0.19959864020347595,1,1
291,318925,0.09897430986166,0.2179221659898758,0.1584482342004776,1,3
292,307087,0.09500230848789215,0.24318057298660278,0.16909143328666687,1,3
293,240652,0.07271137088537216,0.17924240231513977,0.12597689032554626,2,1
294,217268,0.064865343272686,0.17212751507759094,0.11849643290042877,2,3
295,162229,0.0463981032371521,0.15222424268722534,0.09931117296218872,2,3
296,209745,0.06234114617109299,0.18258993327617645,0.12246553599834442,2,3
297,219764,0.06570281833410263,0.197124183177948,0.1314135044813156,2,3
298,325720,0.10125423967838287,0.23536422848701477,0.16830924153327942,1,3
